method,energy_ratio,pointing_hit,iou_50
Attn-Rollout,0.47096942365169525,0.6666666666666666,0.19249379099188801
DAAS-Attn,0.43053827186425525,0.5,0.3842824003756668
Grad-CAM,0.5359715123971304,0.0,0.009019925057286734
Grad-CAM++,0.5370274484157562,0.5,0.006789747466637492
